Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,Danny Manning,Utah,82,15.9,34,0,15.9,3.0,6.1,.494,0.1,0.3,2.9,5.8,.508,.501,1.2,1.7,.729,0.8,1.8,2.6,1.1,0.6,0.4,1.2,2.7,7.4,.250,PF
2001,Kobe Bryant,LA Lakers,68,40.9,22,68,40.9,10.3,22.2,.464,0.9,2.9,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,.305,SG
2001,A.J. Guyton,Chicago,33,19.1,22,8,19.1,2.4,5.8,.406,0.8,2.1,1.5,3.7,.415,.477,0.5,0.5,.833,0.3,0.8,1.1,1.9,0.3,0.2,0.7,1.1,6.0,.391,PG
2001,Lamond Murray,Cleveland,78,28.5,27,46,28.5,5.0,11.9,.423,0.8,2.1,4.2,9.7,.434,.456,2.0,2.7,.735,1.3,3.0,4.4,1.6,1.1,0.3,1.8,2.2,12.8,.370,SF
2001,Greg Foster,LA Lakers,62,7.3,32,8,7.3,0.9,2.1,.421,0.0,0.1,0.9,2.0,.427,.432,0.2,0.2,.714,0.5,1.3,1.8,0.5,0.1,0.2,0.4,1.2,2.0,.333,C
2001,Terrell Brandon,Minnesota,78,36.2,30,78,36.2,6.6,14.5,.451,0.4,1.2,6.1,13.4,.458,.465,2.5,2.9,.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,1.8,16.0,.363,PG
2001,Will Perdue,Portland,13,4.5,35,0,4.5,0.5,0.7,.667,0.0,0.0,0.5,0.7,.667,.667,0.2,0.3,.500,0.5,0.9,1.4,0.2,0.2,0.2,0.0,0.6,1.1,,C
2001,Mark Blount,Boston,64,17.2,25,50,17.2,1.6,3.1,.505,0.0,0.0,1.6,3.1,.505,.505,0.7,1.0,.697,1.5,2.1,3.6,0.5,0.6,1.2,1.0,2.9,3.9,,C
2001,Anthony Johnson,Cleveland,28,8.3,26,0,8.3,1.0,2.9,.333,0.0,0.1,0.9,2.8,.329,.340,0.4,0.6,.688,0.3,0.5,0.8,1.6,0.2,0.0,0.5,0.8,2.4,.500,PG
2001,Jermaine O'Neal,Indiana,81,32.6,22,80,32.6,5.0,10.7,.465,0.0,0.1,5.0,10.7,.468,.465,2.9,4.8,.601,3.1,6.7,9.8,1.2,0.6,2.8,2.0,3.5,12.9,.000,C
2001,Rodney Buford,Philadelphia,47,12.2,23,0,12.2,2.2,5.1,.432,0.3,0.8,1.9,4.3,.433,.465,0.5,0.6,.828,0.3,1.2,1.6,0.4,0.4,0.1,0.6,1.4,5.3,.421,SF
2001,Trajan Langdon,Cleveland,65,17.2,24,5,17.2,2.1,4.8,.431,0.8,1.9,1.3,2.9,.444,.513,1.0,1.2,.895,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6.0,.411,SG
2001,Antonio Daniels,San Antonio,79,26.1,25,23,26.1,3.5,7.4,.468,0.9,2.3,2.5,5.1,.496,.531,1.5,2.0,.776,0.3,1.7,2.1,3.8,0.8,0.2,1.4,1.5,9.4,.404,PG
