Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2009,Orlando,101.0,94.4,+6.6,.457,.433,.381,.342,.715,.240,.759,.507,13.9,13.1,.520,101.0,35.7,78.2,10.0,26.2,27.5,19.6,1.29,.465,94.4,35.8,82.7,5.4,15.8,23.0,17.3,1.14,18.1,19.4,7.0,6.9,5.4,3.8,13.9,13.1,1.39,72
2009,Detroit,94.2,94.7,-0.5,.454,.451,.349,.354,.751,.279,.740,.506,11.9,11.8,.483,94.2,36.4,80.0,4.6,13.2,22.5,16.9,1.18,.485,94.7,35.1,77.8,5.3,15.0,24.9,19.3,1.22,20.1,20.6,6.0,5.6,4.6,4.2,11.9,11.8,1.74,62
2009,Minnesota,97.8,102.7,-4.9,.441,.474,.353,.377,.769,.277,.750,.505,14.2,12.5,.481,97.8,36.4,82.5,6.6,18.8,23.9,18.3,1.19,.515,102.7,37.9,80.0,6.5,17.3,26.2,20.3,1.28,21.5,20.4,6.2,7.4,3.9,5.9,14.2,12.5,1.44,50
2009,Oklahoma City,97.0,103.1,-6.1,.447,.475,.346,.364,.786,.286,.739,.508,16.2,13.9,.471,97.0,36.6,81.9,4.0,11.6,25.2,19.8,1.18,.514,103.1,39.4,82.9,6.4,17.5,23.5,17.9,1.24,21.6,20.3,7.4,8.5,4.5,5.0,16.2,13.9,1.25,31
2009,Houston,98.4,94.4,+4.0,.453,.444,.375,.357,.805,.264,.753,.519,14.1,12.3,.501,98.4,36.1,79.6,7.6,20.2,23.2,18.7,1.24,.479,94.4,36.5,82.1,5.7,15.8,21.1,15.8,1.15,19.8,20.3,6.7,7.2,4.3,5.3,14.1,12.3,1.44,56
2009,Boston,100.9,93.4,+7.5,.486,.431,.397,.349,.765,.279,.756,.528,15.6,14.6,.528,100.9,37.5,77.2,6.6,16.5,25.3,19.4,1.31,.470,93.4,33.7,78.3,6.2,17.7,25.7,19.8,1.19,18.9,22.7,7.6,7.1,4.7,4.7,15.6,14.6,1.45,117
2009,Washington,96.1,103.5,-7.4,.450,.482,.330,.387,.767,.277,.714,.490,14.0,13.9,.480,96.1,36.5,81.2,4.8,14.6,23.8,18.2,1.18,.533,103.5,38.6,80.1,8.2,21.2,23.9,18.1,1.29,24.6,20.0,7.5,7.2,4.5,5.3,14.0,13.9,1.43,43
2009,New Orleans,95.8,94.3,+1.5,.457,.450,.364,.354,.807,.246,.749,.498,12.5,13.3,.501,95.8,35.5,77.6,6.8,18.6,22.4,18.0,1.23,.496,94.3,34.8,77.2,7.0,19.8,22.9,17.7,1.22,20.1,19.6,7.2,5.8,4.1,3.5,12.5,13.3,1.56,78
2009,Cleveland,100.3,91.4,+8.9,.468,.431,.393,.333,.757,.277,.746,.520,12.7,13.9,.519,100.3,36.9,78.7,8.0,20.4,24.5,18.6,1.27,.468,91.4,33.8,78.6,5.9,17.6,23.1,17.8,1.16,19.1,20.3,7.2,6.3,5.3,4.1,12.7,13.9,1.59,68
2009,Milwaukee,99.3,100.4,-1.1,.445,.458,.363,.378,.780,.278,.740,.499,14.1,16.5,.483,99.3,36.7,82.4,6.2,17.2,25.2,19.7,1.21,.503,100.4,34.8,76.0,6.9,18.1,30.2,23.9,1.32,21.1,22.0,7.4,7.5,3.8,4.6,14.1,16.5,1.56,58
2009,Portland,99.4,94.1,+5.3,.465,.460,.383,.374,.765,.326,.750,.535,12.9,13.2,.511,99.4,36.8,79.2,7.3,19.0,24.2,18.5,1.26,.499,94.1,35.4,76.9,5.9,15.9,21.7,17.4,1.22,19.4,20.3,6.7,6.3,4.9,3.9,12.9,13.2,1.58,69
2010,Dallas,102.0,99.3,+2.7,.465,.457,.372,.347,.816,.243,.737,.493,12.9,14.6,.506,102.0,38.3,82.4,6.8,18.3,22.8,18.6,1.24,.495,99.3,37.9,83.0,6.4,18.5,22.5,17.1,1.20,20.2,23.4,7.6,6.9,5.5,4.1,12.9,14.6,1.81,67
2010,Philadelphia,97.7,101.6,-3.9,.460,.472,.343,.393,.756,.276,.732,.500,14.5,14.5,.496,97.7,37.6,81.8,5.8,16.8,22.0,16.7,1.20,.518,101.6,37.9,80.2,7.4,18.8,24.2,18.5,1.27,22.1,21.0,8.1,7.6,5.4,4.0,14.5,14.5,1.45,53
2010,Denver,106.5,102.4,+4.1,.468,.456,.359,.349,.772,.261,.724,.495,13.9,15.1,.509,106.5,38.1,81.4,6.6,18.5,30.6,23.6,1.31,.495,102.4,37.7,82.5,6.4,18.3,26.9,20.7,1.24,21.0,21.0,8.3,7.0,5.1,5.3,13.9,15.1,1.51,75
2010,Indiana,100.8,103.8,-3.0,.443,.453,.348,.363,.775,.216,.730,.471,15.0,15.0,.491,100.8,36.8,83.2,8.0,23.1,24.6,19.1,1.21,.490,103.8,38.0,83.8,6.2,17.1,28.6,21.6,1.24,20.7,21.1,7.1,8.0,5.4,5.0,15.0,15.0,1.40,72
2010,Golden State,108.8,112.4,-3.6,.469,.485,.375,.375,.782,.209,.685,.444,14.7,17.6,.514,108.8,40.6,86.5,7.7,20.6,25.4,19.9,1.26,.525,112.4,41.6,85.8,6.9,18.5,29.1,22.3,1.31,24.1,22.4,9.3,7.9,4.1,5.0,14.7,17.6,1.53,63
