Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Alain Chigha,[],,,1.3,1.5,0.2,7.9,0.6,0.1,1.6,0.292,1.1,0.3,0.5,0.3,0.3,,,0.4,0.4,0.1,0.3,,,0.373,,
Brandon Childress,[],,,6.4,2.1,2.3,19.9,2.2,0.0,1.6,0.333,5.6,1.0,0.783,0.9,1.6,,,1.9,2.6,0.9,1.7,,,0.342,,
Eric Childress,[],,,5.4,2.9,3.3,23.6,1.4,0.1,2.0,0.351,4.7,1.2,0.705,1.1,1.8,,,1.9,1.8,0.6,1.0,,,0.392,,
Yoeli Childs,[],,,8.5,8.2,1.1,24.5,3.1,1.6,2.4,0.0,6.0,3.3,0.569,0.5,1.6,,,3.3,0.0,0.0,1.8,,,0.558,,
Chris Chiozza,[],,,5.5,2.5,3.3,22.4,1.6,0.0,2.0,0.307,5.0,1.0,0.69,1.2,1.5,,,1.8,2.7,0.8,1.1,,,0.355,,
Parker Chitty,[],,,2.0,1.5,1.1,11.6,0.7,0.0,1.9,0.146,2.5,0.4,0.733,0.3,1.0,,,0.7,1.8,0.3,0.5,,,0.263,,
Gary Chivichyan,[],,,7.6,2.2,0.4,19.0,0.5,0.2,1.2,0.384,6.4,0.4,0.765,0.3,0.5,,,2.5,5.6,2.2,0.4,,,0.396,,
Andrew Chrabascz,[],,,9.8,3.8,1.8,27.3,3.3,0.4,2.5,0.374,7.1,2.8,0.722,0.8,1.1,,,3.4,1.6,0.6,2.4,,,0.474,,
Albert Christensson,[],,,2.6,1.6,0.3,10.0,1.3,0.1,1.5,0.344,2.2,0.8,0.485,0.1,1.0,,,0.9,0.4,0.1,0.6,,,0.418,,
Jamelle Christian,[],,,0.7,0.8,0.9,5.9,0.4,0.0,0.5,0.143,0.9,0.2,0.286,0.3,0.6,,,0.3,0.4,0.1,0.1,,,0.286,,
Sterling Christy,[],,,2.3,2.7,1.0,13.1,0.9,0.4,1.8,0.222,2.5,0.7,0.56,0.3,0.9,,,0.8,0.6,0.1,0.5,,,0.329,,
Eli Chuha,[],,,7.6,5.7,0.8,16.6,2.4,0.3,1.6,0.182,5.0,3.0,0.654,0.3,1.4,,,3.0,0.3,0.0,1.5,,,0.599,,
Paschal Chukwu,[],,,2.5,2.7,0.2,10.8,1.2,0.9,1.9,0.0,1.4,1.0,0.49,0.3,0.7,,,1.0,0.0,0.0,0.6,,,0.661,,
Reveal Chukwujekwu,[],,,7.2,5.0,1.3,22.2,2.6,0.2,1.8,0.284,5.6,2.4,0.722,0.6,1.8,,,2.6,0.7,0.2,1.9,,,0.455,,
Obediah Church,[],,,6.4,5.6,1.5,25.8,2.5,1.8,2.1,0.0,4.2,2.6,0.462,0.6,1.4,,,2.6,0.1,0.0,1.2,,,0.622,,
Matt Cimino,[],,,0.9,0.7,0.3,5.1,0.1,0.1,0.8,0.263,1.1,0.3,0.286,0.1,0.3,,,0.4,0.4,0.1,0.0,,,0.358,,
Matthew Cioce,[],,,1.2,0.0,0.2,1.8,0.2,0.0,0.0,0.333,0.8,0.2,1.0,0.0,0.6,,,0.4,0.6,0.2,0.2,,,0.5,,
Ganlandou Cisse,[],,,1.3,0.7,0.1,3.0,0.4,0.2,0.6,0.0,0.5,0.5,0.6,0.0,0.1,,,0.5,0.0,0.0,0.3,,,1.0,,
James Claar,[],,,1.3,1.2,0.1,6.3,0.5,0.3,0.8,0.0,1.1,0.5,0.5,0.1,0.3,,,0.5,0.0,0.0,0.2,,,0.5,,
Manroop Clair,[],,,5.0,1.2,0.7,14.9,0.8,0.0,0.9,0.342,4.5,0.3,0.754,0.3,0.9,,,1.6,3.7,1.3,0.6,,,0.347,,
Davon Clare,[],,,3.6,4.4,1.1,17.4,1.2,0.7,1.4,0.15,3.7,1.3,0.522,0.7,1.0,,,1.4,1.1,0.2,0.6,,,0.38,,
Nico Clareth,[],,,12.9,3.1,1.9,26.2,2.2,0.5,2.6,0.3,11.7,3.3,0.621,1.5,2.3,,,5.0,5.5,1.7,1.4,,,0.423,,
Christian Clark,[],,,0.8,0.0,0.0,3.3,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.3,,,0.3,0.5,0.3,0.0,,,0.5,,
Darion Clark,[],,,5.2,5.2,0.5,17.6,2.5,0.5,1.8,0.0,4.1,2.0,0.498,0.4,1.4,,,2.0,0.0,0.0,1.2,,,0.486,,
Donte Clark,[],,,13.0,3.4,2.3,27.9,4.7,0.3,2.7,0.329,9.9,2.6,0.752,0.8,2.0,,,4.0,4.3,1.4,3.6,,,0.406,,
Duane Clark,[],,,3.3,2.0,0.5,10.7,1.0,0.4,2.0,0.0,3.2,1.5,0.318,0.2,1.3,,,1.5,0.0,0.0,0.3,,,0.459,,
Gary Clark,[],,,9.2,7.8,2.0,28.6,2.7,1.3,1.9,0.352,6.8,3.4,0.653,1.1,1.2,,,3.6,0.6,0.2,1.8,,,0.535,,
Kyle Clark,[],,,4.0,2.1,0.4,15.8,1.0,0.2,1.6,0.345,2.9,0.6,0.719,0.3,0.8,,,1.3,2.1,0.7,0.7,,,0.432,,
Marvin Clark,[],,,4.2,2.3,0.3,10.4,0.9,0.3,1.6,0.364,3.0,1.1,0.7,0.2,0.7,,,1.6,1.3,0.5,0.6,,,0.519,,
Raiquan Clark,[],,,4.8,3.5,0.4,16.0,2.2,0.7,1.8,0.0,3.7,1.5,0.755,0.5,1.0,,,1.5,0.0,0.0,1.7,,,0.416,,
Stevie Clark,[],,,7.4,2.4,4.8,21.7,2.8,0.1,2.1,0.262,6.1,1.3,0.855,1.4,2.6,,,2.1,3.3,0.9,2.4,,,0.347,,
