Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Rondae Hollis-Jefferson,2017-18,23,BRK,14.7,6.3,2.2,28.1,4.9,0.7,2,0.346,10.8,0.497,0.808,0.9,1.5,31,30,5.3,0.8,0.3,3.9,1.6,4.7,0.485,0.499,0.568
Royce O'Neale,2017-18,24,UTA,3.2,2.1,1,10.2,1.1,0,0.8,0.342,2.6,0.37,0.75,0.4,0.5,25,0,0.9,1.5,0.5,0.8,0.2,1.9,0.354,0.454,0.517
Rudy Gay,2017-18,31,SAS,11.6,5.1,1.5,22.8,2.7,0.6,1.9,0.338,9.2,0.521,0.798,0.8,1.6,33,5,4.4,2.1,0.7,2.2,1.3,3.8,0.48,0.518,0.563
Rudy Gobert,2017-18,25,UTA,11.6,9.6,1.2,29.9,4.6,2.3,2.3,,7.1,0.598,0.683,0.6,1.9,18,18,4.2,0,0,3.1,2.6,6.9,0.598,0.598,0.638
Russell Westbrook,2017-18,29,OKC,24,9.3,10,36.3,7.2,0.2,2.5,0.314,20.7,0.451,0.721,2.1,4.5,35,35,8.7,4.9,1.5,5.2,1.7,7.6,0.419,0.456,0.504
Ryan Anderson,2017-18,29,HOU,10.7,5.4,0.9,28.3,1.2,0.4,2,0.396,8.3,0.557,0.816,0.4,0.9,31,30,3.6,6,2.4,1,1.5,3.9,0.44,0.584,0.605
Ryan Arcidiacono,2017-18,23,CHI,0,0,1,5,0,0,1,0,2,,,0,0,1,0,0,2,0,0,0,0,0,0,0
Salah Mejri,2017-18,31,DAL,3,4,0.5,11.1,1,1.2,1.9,0,1.9,0.672,0.516,0.3,0.5,31,1,1.3,0.1,0,0.5,1.4,2.6,0.65,0.65,0.638
Sam Dekker,2017-18,23,LAC,4.5,2.8,0.6,14.1,0.9,0.2,1,0.146,4.3,0.584,0.8,0.4,0.6,29,0,1.8,1.7,0.2,0.7,0.6,2.2,0.416,0.444,0.482
Sean Kilpatrick,2017-18,28,,5.3,2.3,1.1,11.6,1.1,0.1,0.6,0.271,5.4,0.38,0.947,0.1,0.9,18,0,1.8,2.7,0.7,1,0.1,2.3,0.327,0.393,0.447
Semi Ojeleye,2017-18,23,BOS,2.6,2,0.2,14.2,0.6,0,0.9,0.309,2.5,0.4,0.619,0.3,0.3,35,0,0.8,1.9,0.6,0.4,0.6,1.5,0.33,0.449,0.473
Serge Ibaka,2017-18,28,TOR,13.8,6,0.7,27.9,1.7,1.4,3.1,0.389,10.8,0.578,0.72,0.3,1.2,30,30,5.5,4.2,1.6,1.2,0.9,5.1,0.505,0.58,0.595
Shabazz Muhammad,2017-18,25,MIN,4,1.7,0.3,11.4,0.8,0.1,0.9,0.211,4.1,0.431,0.722,0.2,0.1,22,2,1.6,0.9,0.2,0.6,0.5,1.2,0.385,0.407,0.44
Shabazz Napier,2017-18,26,POR,8.7,1.9,1.6,18.5,1.6,0.1,0.9,0.458,6.6,0.508,0.81,1.3,0.9,27,1,3.2,2.2,1,1.3,0.3,1.6,0.492,0.568,0.601
Shane Larkin,2017-18,25,BOS,3.8,1.2,1.2,11.3,0.7,0,1,0.385,3.4,0.389,0.833,0.4,0.4,27,0,1.3,1.4,0.6,0.6,0.1,1.1,0.387,0.468,0.505
Shaun Livingston,2017-18,32,GSW,5.1,1.8,2,16.1,0.7,0.3,1.6,0,4.5,0.516,0.75,0.5,0.9,28,5,2.3,0.1,0,0.5,0.6,1.2,0.508,0.508,0.53
Shelvin Mack,2017-18,27,ORL,4.1,2.1,3.9,18,1.3,0.1,1,0.313,4.1,0.365,0.667,0.5,1,26,3,1.4,1.2,0.4,0.8,0.3,1.8,0.349,0.396,0.44
Sindarius Thornwell,2017-18,23,LAC,3.9,1.6,0.8,15.4,1,0.3,1.9,0.394,3.2,0.471,0.677,0.6,0.8,32,8,1.4,1,0.4,0.7,0.3,1.2,0.447,0.51,0.54
Skal Labissiere,2017-18,21,SAC,7,3.8,0.7,15.8,1.6,0.6,2,0.4,6.4,0.435,0.804,0.4,1,29,12,2.8,0.3,0.1,1.3,1.2,2.6,0.433,0.444,0.49
Spencer Dinwiddie,2017-18,24,BRK,12.8,3.2,6.5,26.8,2.9,0.4,2.5,0.364,10.5,0.439,0.784,0.7,1.3,33,23,4.2,5.6,2,2.3,0.6,2.6,0.399,0.496,0.539
Stanley Johnson,2017-18,21,DET,7.5,3.7,1.4,27.9,1.8,0.2,2.4,0.295,7.1,0.417,0.778,1.2,0.9,30,22,2.5,3.5,1,1.4,0.5,3.2,0.357,0.43,0.475
