Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Kelly Oubre,2016-17,21,6.4,3.5,0.7,19.9,1.2,0.2,2.4,0.327,5.4,0.524,2.3,0.769,0.7,0.7,0.509,0.541,43,2.5,1
Zaza Pachulia,2016-17,32,5.8,6,2,18.8,1.9,0.4,2.3,,4.1,0.523,2.2,0.769,0.9,1.3,0.523,0.581,42,0,42
Georgios Papagiannis,2016-17,19,1,0.5,0,4.5,0,0,1.5,,0.5,1,0.5,,0,0.5,1,1,2,0,0
Jabari Parker,2016-17,21,20.5,5.9,2.9,34.3,4.3,0.4,2.2,0.391,16.2,0.521,8,0.734,1,1.7,0.536,0.567,45,3.6,44
Tony Parker,2016-17,34,11.5,2,4.8,25.8,1.6,0,1.6,0.405,10.2,0.488,4.9,0.769,0.4,1.4,0.502,0.526,32,1.2,32
Chandler Parsons,2016-17,28,6.6,1.9,1.4,18.1,1,0.1,1.3,0.246,6.9,0.459,2.5,0.842,0.7,0.5,0.42,0.452,19,3,19
Patrick Patterson,2016-17,27,7.1,5.4,1.5,27.8,0.9,0.3,2.3,0.361,6.6,0.39,2.5,0.667,0.8,0.7,0.491,0.507,35,4.4,2
Chris Paul,2016-17,31,17.5,5.3,9.7,30.9,4.5,0.1,2.4,0.395,12.3,0.521,5.8,0.876,2.2,2.4,0.55,0.611,36,4.9,36
Adreian Payne,2016-17,25,4.8,1.8,0.4,8.8,1.5,0.4,1.9,0.2,3.8,0.536,1.7,0.8,0.4,0.7,0.474,0.538,10,1,0
Cameron Payne,2016-17,22,5.1,1.4,1.7,15.8,0.2,0.1,2.1,0.259,5.9,0.438,2.1,1,0.3,0.7,0.415,0.426,10,2.7,0
Elfrid Payton,2016-17,22,12.5,3.9,6,29.3,2.3,0.5,2.1,0.288,11.2,0.506,5.2,0.636,1.2,2.1,0.491,0.511,47,2.2,27
Paul Pierce,2016-17,39,3.8,1.5,0.2,12.3,0.8,0.3,2.1,0.346,3.3,0.385,1.2,0.8,0.3,0.7,0.474,0.518,12,2.2,6
Marshall Plumlee,2016-17,24,1.8,3.2,0.8,11.4,1.2,0.4,1.8,,0.8,0.75,0.6,0.5,0.2,0.6,0.75,0.678,5,0,0
Mason Plumlee,2016-17,26,11,7.8,4.2,27.9,4.1,1.2,2.7,0,8.3,0.54,4.4,0.55,0.9,1.6,0.534,0.55,47,0.1,47
Miles Plumlee,2016-17,28,2.6,1.6,0.6,9.5,1.1,0.3,1.5,,2,0.46,0.9,0.667,0.4,0.7,0.46,0.516,31,0,11
Jakob Poeltl,2016-17,21,2.1,2.7,0.2,10.2,1,0.3,2.1,,1.7,0.442,0.8,0.56,0.4,0.4,0.442,0.481,25,0,2
Otto Porter,2016-17,23,14.2,6.5,1.6,33.7,1.4,0.6,2.5,0.456,10.5,0.586,5.6,0.785,1.5,0.7,0.626,0.642,45,4.3,45
Bobby Portis,2016-17,21,4.2,3.4,0.5,12.1,0.7,0.1,1.4,0.385,3.7,0.506,1.8,0.55,0.2,0.6,0.523,0.53,30,0.9,0
Kristaps Porzingis,2016-17,21,18.8,7.1,1.4,33.4,3.9,1.9,3.8,0.384,15.3,0.479,6.9,0.8,0.8,1.8,0.511,0.551,40,5.1,39
Dwight Powell,2016-17,25,7.2,4.7,0.8,19.3,2,0.6,2,0.2,5.2,0.564,2.8,0.78,1,0.4,0.542,0.591,46,0.4,1
Norman Powell,2016-17,23,6.5,1.7,0.9,15.7,1.6,0.2,1.5,0.35,5.3,0.49,2.3,0.746,0.7,0.6,0.502,0.543,42,1.9,9
Tim Quarterman,2016-17,22,1.3,0.5,0.6,3.3,0,0.2,0.3,0.4,0.8,1,0.6,,0.1,0.3,0.8,0.8,12,0.4,0
Chasson Randle,2016-17,23,5.3,0.7,0.3,8,0.7,0,1.7,0.667,2.7,0.5,1.7,1,0.7,0.3,0.875,0.901,3,2,0
Julius Randle,2016-17,22,13,8.4,3.8,29.2,4,0.5,3.5,0.227,10.3,0.502,5,0.714,0.8,2.6,0.494,0.54,44,0.5,44
Zach Randolph,2016-17,35,13.7,8.2,1.8,23.9,2.2,0.2,2,0.275,13.2,0.464,5.9,0.724,0.5,1.2,0.459,0.484,40,1.3,2
J.J. Redick,2016-17,32,15.7,2.1,1.3,28.1,2.5,0.1,1.6,0.437,12,0.469,5.4,0.865,0.7,1.3,0.565,0.6,44,6.1,44
Willie Reed,2016-17,26,5.3,4.9,0.4,14,1.4,0.8,1.7,0,3.9,0.585,2.2,0.547,0.2,0.4,0.576,0.583,37,0.1,4
Josh Richardson,2016-17,23,11.2,3.3,2.8,31.3,1.2,0.5,2.6,0.313,11.1,0.464,4.4,0.735,0.9,1.5,0.466,0.483,28,5.1,20
Malachi Richardson,2016-17,21,3.8,1,0.5,7.5,1.1,0,0.5,0.308,2.6,0.692,1.3,0.727,0.3,0.1,0.577,0.616,10,1.3,0
Austin Rivers,2016-17,24,11.9,2,2.6,27.1,2.2,0.2,2.4,0.408,9.7,0.475,4.4,0.72,0.7,1.4,0.53,0.556,45,3.9,17
Andre Roberson,2016-17,25,6.6,4.8,1.1,30.9,1.6,1,2.4,0.262,6.1,0.569,2.6,0.405,1.1,0.7,0.491,0.488,47,2.7,47
Brian Roberts,2016-17,31,1.4,0.6,0.7,5.4,1.2,0,0.2,0,1.3,0.231,0.3,0.786,0.2,0.5,0.2,0.402,12,0.2,0
Glenn Robinson,2016-17,23,6,3.6,0.7,22.4,1.2,0.3,1,0.346,5.3,0.469,2.3,0.72,0.5,0.7,0.487,0.516,43,1.9,24
Thomas Robinson,2016-17,25,3.9,4.4,0.7,11,1,0.3,1.6,,3.3,0.523,1.7,0.429,0.5,0.7,0.523,0.518,34,0,1
Sergio Rodriguez,2016-17,30,8.5,2.8,5.7,24.9,0.4,0.1,1.4,0.346,8.6,0.433,3.4,0.75,0.9,2.3,0.473,0.481,39,4.1,30
Rajon Rondo,2016-17,30,6.4,5.4,6.5,27.3,0.7,0.2,2.1,0.302,7.7,0.382,2.8,0.538,1.3,2.4,0.397,0.405,38,1.7,29
Derrick Rose,2016-17,28,18,3.9,4.5,32.3,3.7,0.4,1.5,0.25,16,0.472,7.3,0.864,0.7,2.5,0.464,0.512,42,1.2,42
Terrence Ross,2016-17,25,10.6,2.4,0.7,22.4,1,0.4,1.4,0.371,9,0.526,4,0.867,1,0.5,0.542,0.563,45,4.7,0
Terry Rozier,2016-17,22,5.8,3.1,1.7,18,1,0.2,1.1,0.326,5.7,0.413,2.2,0.725,0.7,0.6,0.443,0.47,40,2.2,0
Ricky Rubio,2016-17,26,7.8,3.9,8.1,31.7,3,0.1,2.5,0.244,6.2,0.449,2.3,0.875,1.9,2.2,0.419,0.52,40,2.3,40
Damjan Rudez,2016-17,30,1.8,0.7,0.4,7,0,0,0.8,0.31,1.9,0.455,0.6,,0.3,0.3,0.462,0.462,28,1.5,0
Brandon Rush,2016-17,31,3.1,1.4,0.7,13.9,0.1,0.5,0.4,0.448,2.9,0.294,1.1,0.5,0.4,0.4,0.533,0.533,16,1.8,2
D'Angelo Russell,2016-17,20,14.3,3.7,4.4,26.3,2.9,0.3,2,0.346,12.9,0.435,5.1,0.765,1.2,2.6,0.471,0.507,34,5.6,34
Domantas Sabonis,2016-17,20,6.1,3.5,1.2,21.3,0.5,0.4,2.5,0.356,5.8,0.467,2.5,0.68,0.6,1,0.493,0.504,47,2.2,47
Dario Saric,2016-17,22,9.7,5.9,1.6,23.9,1.9,0.3,1.6,0.341,9.3,0.398,3.5,0.795,0.5,1.9,0.444,0.481,44,3.7,10
Tomas Satoransky,2016-17,25,3.2,1.9,2.1,14.7,0.8,0,1.2,0.174,3,0.5,1.2,0.727,0.6,0.9,0.437,0.476,29,0.8,2
Dennis Schroder,2016-17,23,17.6,2.9,6.3,30.7,3.3,0.2,1.8,0.373,14.5,0.499,6.8,0.833,0.8,3,0.513,0.552,46,3.5,46
Luis Scola,2016-17,36,5.4,3.8,0.9,12.6,1,0.1,1.6,0.357,4.4,0.545,2.2,0.677,0.3,0.9,0.543,0.563,32,1.3,1
Mike Scott,2016-17,28,2.2,2.2,1.2,10.8,0.5,0.1,0.7,0.13,3.3,0.35,0.8,0.833,0.2,0.5,0.267,0.307,13,1.8,0
Thabo Sefolosha,2016-17,32,7.7,4.4,1.6,26.1,1.3,0.5,1.5,0.333,6.7,0.507,3.1,0.764,1.7,0.9,0.505,0.533,43,1.8,28
Kevin Seraphin,2016-17,27,3.9,3.2,0.6,10.3,0.2,0.3,1.1,,3.6,0.531,1.9,0.667,0.1,0.5,0.531,0.537,27,0,0
Ramon Sessions,2016-17,30,6.4,1.5,2.7,16.4,2.3,0.1,0.9,0.333,5.5,0.401,2.1,0.759,0.5,0.9,0.425,0.494,46,1.3,1
Iman Shumpert,2016-17,26,7.9,2.9,1.7,24.9,1.3,0.3,1.9,0.414,6.1,0.492,2.7,0.782,1,1.1,0.563,0.59,43,3.4,7
Pascal Siakam,2016-17,22,4.5,3.5,0.4,17.5,0.6,0.9,2.2,0,4.1,0.513,2,0.75,0.5,0.7,0.5,0.522,40,0.1,35
Jonathon Simmons,2016-17,27,6.3,2.1,1.8,18.1,1.8,0.4,1.9,0.327,5.2,0.477,2.3,0.756,0.6,1,0.48,0.53,44,1.3,1
Kyle Singler,2016-17,28,2.1,1.1,0.2,10.3,0.3,0.1,0.7,0.25,2,0.565,0.8,0.875,0.1,0.4,0.468,0.505,24,1,0
Marcus Smart,2016-17,22,9.9,3.9,4.4,30.7,2.6,0.4,2.3,0.296,9.3,0.407,3.3,0.784,1.5,2,0.423,0.475,42,4,17
Ish Smith,2016-17,28,8,2.6,5,24.1,1.2,0.3,1.7,0.237,8.3,0.446,3.4,0.692,0.8,1.4,0.432,0.452,45,1.3,21
J.R. Smith,2016-17,31,8.6,2.1,1.2,28.9,0.4,0.4,2.2,0.362,8.8,0.261,3,0.778,1.2,0.7,0.473,0.481,21,6.6,21
Jason Smith,2016-17,30,4.8,2.9,0.4,12.7,0.6,0.6,2.4,0.5,4,0.525,2.1,0.75,0.3,0.8,0.544,0.561,43,0.3,0
Tony Snell,2016-17,25,8.1,3.4,1.3,29,0.6,0.2,1.6,0.371,6.7,0.615,3,0.778,0.5,0.6,0.575,0.587,44,4.5,44
Marreese Speights,2016-17,29,10.2,4.8,0.8,16.5,2.3,0.5,3,0.404,7.4,0.511,3.4,0.869,0.3,0.8,0.556,0.608,47,3.5,1
Nik Stauskas,2016-17,23,8.5,2.5,2,26.1,1.6,0.5,1.8,0.375,6.9,0.463,2.8,0.809,0.5,1.5,0.521,0.558,42,4,17
Lance Stephenson,2016-17,26,9.7,3,4.8,27,1.3,0.2,3,0.1,9.2,0.556,4.3,0.625,0.3,1.8,0.482,0.496,6,1.7,0
Jarnell Stokes,2016-17,23,1.5,1,1,3.5,1,0,1.5,,0.5,1,0.5,0.5,0.5,0,1,0.798,2,0,0
Diamond Stone,2016-17,19,1.5,0.8,0,4,0.5,0.3,1,,2.3,0.222,0.5,1,0,0.3,0.222,0.304,4,0,0
Rodney Stuckey,2016-17,30,9.1,2.7,2.1,20.3,3.4,0,1.5,0.308,6.9,0.478,3.1,0.737,0.4,1.6,0.475,0.538,17,1.5,0
Jared Sullinger,2016-17,24,4,2.6,0,14,0.6,0.4,2.4,0.182,6.2,0.3,1.6,0.667,0.8,0.4,0.29,0.309,5,2.2,1
Walter Tavares,2016-17,24,2,1,0,4,2,0,0,,1,1,1,0,0,0,1,0.532,1,0,0
Jeff Teague,2016-17,28,15.6,4.2,8.1,32.3,5.3,0.5,2.2,0.339,11.3,0.487,5.1,0.849,1.5,3,0.492,0.573,45,2.8,45
Mirza Teletovic,2016-17,31,7.1,2.5,0.8,17.2,0.7,0.2,1.7,0.352,6.4,0.456,2.4,0.778,0.2,0.7,0.511,0.528,37,4.8,2
Garrett Temple,2016-17,30,7.9,2.8,2.2,26.5,1.2,0.5,2.2,0.372,6.4,0.529,2.8,0.818,1.2,1,0.544,0.574,45,3.3,11
Jason Terry,2016-17,39,3.3,1.2,1.3,17,0.3,0.2,1.2,0.386,2.9,0.375,1.1,0.8,0.5,0.4,0.522,0.536,39,2.1,0
Isaiah Thomas,2016-17,27,29.1,2.8,6.2,34.3,8.5,0.1,2.1,0.38,19.9,0.516,9.2,0.908,0.8,2.5,0.538,0.616,41,8,41
