W-L%,PTS,SOS,Season
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
0.519,,7.95,1976-77
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
W-L%,PTS,SOS,Season
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
0.481,,8.84,1975-76
W-L%,PTS,SOS,Season
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
0.5,,7,1974-75
W-L%,PTS,SOS,Season
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
0.385,,7.85,1973-74
W-L%,PTS,SOS,Season
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
0.462,,6.54,1972-73
W-L%,PTS,SOS,Season
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
0.538,,6.4,1971-72
W-L%,PTS,SOS,Season
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
0.667,,6.23,1970-71
W-L%,PTS,SOS,Season
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
0.654,,4.79,1969-70
W-L%,PTS,SOS,Season
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
0.536,,4.71,1968-69
W-L%,PTS,SOS,Season
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
0.786,,1.78,1967-68
W-L%,PTS,SOS,Season
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
0.667,,5.59,1966-67
W-L%,PTS,SOS,Season
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
